Year,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MonthlyRainfall
2000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
2000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0
2000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,15.0,16.0,6.0,4.0,0.0,3.0,0.0,65.0
2000,5,16.0,2.0,56.0,0.0,19.0,7.0,10.0,1.0,37.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,4.0,4.0,0.0,53.0,0.0,55.0,8.0,101.0,76.0,10.0,70.0,18.0,10.0,18.0,0.0,589.0
2000,6,0.0,6.0,0.0,0.0,32.0,5.0,4.0,45.0,28.0,11.0,85.0,40.0,150.0,0.0,0.0,0.0,1.0,14.0,22.0,19.0,27.0,10.0,144.0,48.0,133.0,10.0,3.0,1.0,2.0,1.0,0.0,841.0
2000,7,0.0,0.0,0.0,0.0,0.0,10.0,39.0,0.0,23.0,43.0,3.0,52.0,96.0,90.0,69.0,2.0,17.0,200.0,133.0,91.0,135.0,28.0,28.0,115.0,92.0,4.0,17.0,13.0,0.0,0.0,0.0,1300.0
2000,8,22.0,29.0,101.0,8.0,57.0,6.0,7.0,5.0,1.0,0.0,2.0,29.0,1.0,32.0,53.0,115.0,71.0,22.0,0.0,2.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,98.0,115.0,87.0,870.0
2000,9,66.0,29.0,22.0,23.0,15.0,144.0,4.0,28.0,47.0,42.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,4.0,32.0,19.0,4.0,1.0,0.0,0.0,0.0,503.0
2000,10,30.0,171.0,26.0,11.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,14.0,10.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,49.0,39.0,50.0,0.0,0.0,424.0
2000,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,16.0
2000,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2001,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2001,5,0.0,0.0,0.0,48.0,55.0,22.0,9.0,16.0,2.0,1.0,57.0,87.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,26.0,7.0,14.0,0.0,1.0,1.0,0.0,0.0,4.0,379.0
2001,6,10.0,71.0,1.0,116.0,65.0,39.0,32.0,21.0,86.0,4.0,0.0,3.0,30.0,59.0,81.0,148.0,120.0,43.0,34.0,92.0,175.0,25.0,3.0,6.0,1.0,17.0,6.0,0.0,38.0,47.0,0.0,1373.0
2001,7,64.0,140.0,20.0,2.0,0.0,5.0,4.0,0.0,39.0,74.0,83.0,41.0,37.0,0.0,18.0,7.0,5.0,0.0,27.0,33.0,47.0,14.0,51.0,3.0,53.0,18.0,17.0,101.0,0.0,0.0,0.0,903.0
2001,8,70.0,40.0,27.0,4.0,16.0,0.0,1.0,13.0,13.0,4.0,2.0,1.0,1.0,31.0,76.0,65.0,26.0,26.0,0.0,0.0,20.0,4.0,3.0,10.0,3.0,19.0,39.0,13.0,3.0,4.0,0.0,534.0
2001,9,0.0,0.0,4.0,2.0,15.0,2.0,18.0,7.0,2.0,4.0,1.0,20.0,9.0,0.0,0.0,73.0,108.0,94.0,29.0,22.0,0.0,0.0,8.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,426.0
2001,10,4.0,0.0,7.0,55.0,1.0,0.0,0.0,0.0,0.0,23.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,30.0,27.0,10.0,18.0,236.0
2001,11,31.0,12.0,17.0,1.0,0.0,1.0,1.0,0.0,17.0,1.0,19.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0
2001,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
2002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,26.0,0.0,7.0,0.0,0.0,0.0,43.0
2002,4,0.0,0.0,4.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,92.0
2002,5,0.0,0.0,0.0,0.0,0.0,8.0,21.0,37.0,36.0,33.0,79.0,4.0,0.0,30.0,0.0,1.0,11.0,0.0,21.0,0.0,0.0,0.0,8.0,53.0,5.0,14.0,57.0,68.0,8.0,0.0,0.0,494.0
2002,6,0.0,0.0,0.0,4.0,38.0,8.0,41.0,43.0,0.0,11.0,7.0,7.0,41.0,30.0,17.0,0.0,1.0,2.0,0.0,1.0,18.0,38.0,10.0,10.0,24.0,25.0,3.0,20.0,62.0,42.0,0.0,503.0
2002,7,102.0,189.0,81.0,112.0,33.0,7.0,8.0,9.0,51.0,46.0,38.0,1.0,0.0,12.0,13.0,0.0,1.0,12.0,17.0,39.0,48.0,84.0,52.0,185.0,1.0,80.0,3.0,6.0,1.0,3.0,2.0,1236.0
2002,8,0.0,4.0,12.0,2.0,15.0,2.0,13.0,0.0,8.0,46.0,38.0,66.0,40.0,31.0,16.0,157.0,107.0,17.0,2.0,8.0,3.0,0.0,0.0,1.0,3.0,17.0,45.0,4.0,0.0,0.0,1.0,658.0
2002,9,0.0,1.0,3.0,47.0,0.0,11.0,26.0,19.0,62.0,8.0,7.0,3.0,0.0,0.0,2.0,12.0,5.0,0.0,2.0,1.0,10.0,0.0,0.0,26.0,4.0,0.0,5.0,51.0,11.0,0.0,0.0,316.0
2002,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,122.0,53.0,11.0,0.0,0.0,37.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0
2002,11,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,103.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,219.0
2002,12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2003,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,46.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
2003,4,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2003,5,0.0,32.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,108.0,220.0,0.0,0.0,0.0,54.0,32.0,0.0,0.0,6.0,0.0,0.0,15.0,9.0,0.0,0.0,574.0
2003,6,0.0,0.0,0.0,34.0,52.0,68.0,1.0,42.0,17.0,21.0,110.0,66.0,13.0,42.0,8.0,77.0,84.0,45.0,2.0,17.0,150.0,68.0,169.0,0.0,6.0,79.0,72.0,30.0,20.0,56.0,0.0,1349.0
2003,7,72.0,12.0,2.0,1.0,0.0,0.0,0.0,8.0,0.0,25.0,64.0,33.0,10.0,2.0,0.0,10.0,0.0,3.0,9.0,31.0,21.0,62.0,24.0,7.0,11.0,85.0,31.0,46.0,72.0,162.0,93.0,896.0
2003,8,61.0,13.0,12.0,0.0,0.0,0.0,0.0,14.0,27.0,45.0,12.0,111.0,90.0,39.0,8.0,35.0,11.0,0.0,0.0,1.0,0.0,10.0,24.0,0.0,3.0,6.0,2.0,21.0,14.0,76.0,20.0,655.0
2003,9,24.0,51.0,115.0,15.0,0.0,0.0,28.0,14.0,33.0,0.0,19.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,0.0,0.0,8.0,2.0,17.0,2.0,1.0,5.0,0.0,0.0,347.0
2003,10,0.0,0.0,0.0,0.0,6.0,30.0,23.0,9.0,57.0,31.0,34.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0
2003,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2004,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2004,4,0.0,35.0,0.0,0.0,0.0,0.0,24.0,2.0,30.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0
2004,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,25.0,0.0,11.0,17.0,0.0,47.0,2.0,110.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,250.0
2004,6,0.0,4.0,0.0,35.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,27.0,3.0,5.0,6.0,19.0,18.0,63.0,205.0,142.0,83.0,1.0,1.0,0.0,38.0,14.0,7.0,0.0,23.0,1.0,0.0,705.0
2004,7,0.0,12.0,0.0,13.0,31.0,44.0,8.0,99.0,4.0,115.0,46.0,54.0,0.0,0.0,28.0,82.0,34.0,14.0,4.0,66.0,74.0,0.0,0.0,1.0,0.0,16.0,1.0,0.0,1.0,3.0,1.0,751.0
2004,8,0.0,0.0,0.0,14.0,53.0,38.0,115.0,7.0,2.0,1.0,5.0,102.0,108.0,61.0,19.0,5.0,1.0,19.0,17.0,4.0,4.0,2.0,5.0,2.0,0.0,8.0,12.0,58.0,1.0,23.0,0.0,686.0
2004,9,21.0,0.0,0.0,17.0,0.0,0.0,0.0,2.0,0.0,3.0,61.0,77.0,106.0,20.0,93.0,3.0,26.0,2.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0
2004,10,0.0,0.0,0.0,0.0,41.0,29.0,24.0,52.0,36.0,0.0,0.0,0.0,0.0,0.0,22.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0
2004,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2005,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,27.0
2005,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,80.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0
2005,5,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,44.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0
2005,6,0.0,0.0,0.0,0.0,115.0,1.0,0.0,0.0,0.0,1.0,141.0,12.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,12.0,3.0,97.0,118.0,14.0,99.0,93.0,79.0,47.0,0.0,848.0
2005,7,77.0,34.0,57.0,91.0,35.0,24.0,0.0,0.0,2.0,32.0,39.0,5.0,0.0,10.0,4.0,0.0,2.0,12.0,2.0,8.0,12.0,5.0,1.0,0.0,0.0,17.0,10.0,8.0,40.0,12.0,69.0,608.0
