Landslide_,Camp_name,Latitude,Longitude,Elevation,Date_of_mo,General_sl,Slided_slo,Width (m),Length_pre,Length_aft,Depth (m),Material,Movement_t,State,Distributi,Style,field_18,field_19,field_20,field_21,field_22,field_23,field_24,field_25,field_26,field_27,field_28,field_29,field_30,field_31,accumulati,accumula_1,accumula_2,slope_clas,flow_direc,10yr_runof,20yr_runof,50yr_runof,fill_sinks,basins1
"1","20",21.195371000000002,92.137818999999993,13.000000000000000,"2020","40","60",19.000000000000000,24.000000000000000,19.000000000000000,13.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,22.000000000000000,161.000000000000000
"2","20",21.195408000000000,92.137880999999993,3.800000000000000,"2020","24","35",12.000000000000000,8.300000000000002,6.100000000000000,3.800000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,7.623501017172444,7.727397639588536,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.000000000000000,161.000000000000000
"3","20",21.195108999999999,92.138158000000004,3.500000000000000,"2020","22","30",10.000000000000000,10.000000000000000,8.000000000000000,3.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.419381066769810,6.523277689474792,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,25.000000000000000,161.000000000000000
"4","20",21.195077000000001,92.137940000000000,8.000000000000000,"2020","22","30",11.000000000000000,15.000000000000000,12.000000000000000,4.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,25.000000000000000,161.000000000000000
"5","20",21.191602000000000,92.137919999999994,6.000000000000000,"2019","30","40",18.000000000000000,16.000000000000000,13.000000000000000,6.000000000000000,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,6.513206959163058,6.595472304323296,6.699368937683080,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,23.000000000000000,161.000000000000000
"6","20",21.191094000000000,92.139632000000006,5.000000000000000,"2020","28","35",18.000000000000000,17.000000000000000,14.000000000000000,5.000000000000000,Soil or Earth,Slide,Stabilized,Confined,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.050035476684570,161.000000000000000
"7","20",21.187980000000000,92.137061000000003,1.000000000000000,"2020","28","60",19.500000000000000,5.600000000000000,2.000000000000000,1.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,26.000000000000000,161.000000000000000
"8","20",21.187687000000000,92.137114999999994,6.000000000000000,"2020","18","42",13.500000000000000,15.000000000000000,8.900000000000000,6.000000000000000,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,27.000000000000000,161.000000000000000
"9","20",21.186969000000001,92.137313000000006,8.000000000000000,"2020","36","62",7.700000000000000,12.000000000000000,10.500000000000000,8.000000000000000,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,6.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,23.000000000000000,161.000000000000000
"10","20",21.187228999999999,92.136546999999993,8.000000000000000,"2020","24","44",30.000000000000000,18.000000000000000,15.000000000000000,8.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,161.000000000000000
"11","20",21.191465999999998,92.141623999999993,2.000000000000000,"2020","24","50",18.699999999999999,7.000000000000000,3.000000000000000,2.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.000000000000000,161.000000000000000
"12","20",21.191314999999999,92.139877999999996,6.000000000000000,"2020","30","45",14.000000000000000,11.000000000000000,9.000000000000000,6.000000000000000,Soil or Earth,Slide,Dormant,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.118351071105828,6.222247693810810,1.000000000000000,2.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.000000000000000,161.000000000000000
"13","4",21.205852000000000,92.141338000000005,4.500000000000000,"2020","26","40",16.300000000000001,8.699999999999999,7.500000000000000,4.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,767.000000000000000
"14","4",21.204411000000000,92.140677999999994,4.500000000000000,"2020","45","65",7.700000000000000,6.800000000000000,5.700000000000000,4.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,6.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,26.000000000000000,767.000000000000000
"15","4",21.204197000000001,92.141095000000007,5.000000000000000,"2020","22","50",7.000000000000000,12.500000000000000,9.100000000000000,5.000000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,27.000000000000000,767.000000000000000
"16","4",21.204149999999998,92.140843000000004,6.000000000000000,"2020","22","32",10.600000000000000,18.399999999999999,14.000000000000000,6.000000000000000,Soil or Earth,Slide,Dormant,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,27.000000000000000,767.000000000000000
"17","4",21.204701000000000,92.142285000000001,4.000000000000000,"2020","22","42",12.600000000000000,7.500000000000000,5.300000000000000,4.000000000000000,Soil or Earth,Slide,Dormant,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,22.000000000000000,767.000000000000000
"18","4",21.207861000000001,92.141435999999999,4.000000000000000,"2020","25","43",25.000000000000000,8.000000000000000,6.000000000000000,4.000000000000000,Soil or Earth,Slide,Active,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,4.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,767.000000000000000
"19",4 ext,21.208290999999999,92.134620999999996,8.000000000000000,"2020","22","32",22.500000000000000,22.000000000000000,12.699999999999999,8.000000000000000,Soil or Earth,Slide,Stabilized,Enlarging,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,3.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,767.000000000000000
"20",4 ext,21.206939999999999,92.135062000000005,2.000000000000000,"2020","20","32",8.699999999999999,7.900000000000000,6.100000000000000,2.000000000000000,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,2.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,21.000000000000000,767.000000000000000
"21",4 ext,21.206937000000000,92.134958999999995,2.100000000000000,"2020","20","32",10.300000000000001,6.700000000000000,5.200000000000000,2.100000000000000,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,1.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,22.000000000000000,767.000000000000000
"22",4 ext,21.206823000000000,92.136154000000005,2.000000000000000,"2020","22","34",16.500000000000000,8.400000000000000,7.300000000000000,2.000000000000000,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,6.638145685020260,6.118351071105828,6.222247693810810,2.000000000000000,6.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,20.000000000000000,767.000000000000000
"23",4 ext,21.202570999999999,92.135722000000001,4.500000000000000,"2020","20","40",15.900000000000000,8.600000000000000,7.600000000000000,4.500000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,7.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,767.000000000000000
"24",4 ext,21.204248000000000,92.135752999999994,3.500000000000000,"2020","20","35",7.000000000000000,7.000000000000000,5.000000000000000,3.500000000000000,Soil or Earth,Earth Flow,Stabilized,Confined,Successive,,,,,,,,,,,,,,,6.337115721609570,6.419381066769810,6.523277689474792,2.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,19.600425720214844,767.000000000000000
"25",4 ext,21.203534999999999,92.136858000000004,7.000000000000000,"2019","35","70",12.000000000000000,15.000000000000000,10.000000000000000,7.000000000000000,Soil or Earth,Slide,Stabilized,Advancing,Successive,,,,,,,,,,,,,,,6.735055717380290,6.817321062540532,6.921217678621520,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,19.783397674560547,767.000000000000000
"27","17",21.201640999999999,92.146061000000003,2.500000000000000,"2020","26","40",7.500000000000000,3.700000000000000,2.600000000000000,1.500000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,2.000000000000000,7.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,767.000000000000000
"28","17",21.200225000000000,92.144710000000003,6.500000000000000,"2020","24","36",12.600000000000000,16.000000000000000,14.600000000000000,6.500000000000000,Soil or Earth,Slide,Dormant,Advancing,Successive,,,,,,,,,,,,,,,6.513206959163058,6.595472304323296,6.699368937683080,1.000000000000000,0.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,18.491769790649418,767.000000000000000
"29","17",21.198920999999999,92.143835999999993,7.000000000000000,"2020","20","40",25.000000000000000,15.000000000000000,12.000000000000000,7.000000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.638145717273552,6.720411062433790,6.824307685138774,2.000000000000000,2.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,20.000000000000000,767.000000000000000
"30","17",21.197666000000002,92.142812000000006,2.200000000000000,"2020","40","60",9.800000000000001,4.000000000000000,2.800000000000000,2.200000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.881183775175070,6.963449120335310,7.067345747771714,2.000000000000000,4.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,19.120796203613281,161.000000000000000
"31","17",21.197759000000001,92.138990000000007,6.500000000000000,"2020","30","50",7.600000000000000,15.500000000000000,13.300000000000001,6.500000000000000,Soil or Earth,Slide,Active,Advancing,Complex,,,,,,,,,,,,,,,7.899408563974750,7.981673909134990,8.085570520497519,1.000000000000000,4.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,20.341663360595703,161.000000000000000
"32","17",21.197244999999999,92.139289000000005,5.800000000000000,"2020","30","50",19.500000000000000,9.500000000000000,7.200000000000000,5.800000000000000,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,6.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,23.000000000000000,161.000000000000000
"33","17",21.197593999999999,92.138322000000002,6.400000000000000,"2020","40","62",12.100000000000000,10.900000000000000,9.600000000000000,6.400000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,2.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,26.000000000000000,161.000000000000000
"34","17",21.193315999999999,92.145555000000002,1.700000000000000,"2020","18","36",4.500000000000000,3.000000000000000,2.000000000000000,1.700000000000000,Soil or Earth,Earth Flow,Active,Advancing,Successive,,,,,,,,,,,,,,,6.513206959163058,6.595472304323296,6.699368937683080,2.000000000000000,4.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,19.391698837280273,161.000000000000000
"35","17",21.192212999999999,92.145539999999997,3.800000000000000,"2020","18","38",13.000000000000000,8.199999999999999,6.000000000000000,3.800000000000000,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,2.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,24.000000000000000,161.000000000000000
"36","18",21.191775000000000,92.149040999999997,5.500000000000000,"2020","20","30",8.600000000000000,9.000000000000000,7.500000000000000,5.500000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.339278468367474,6.421240584191110,6.524804420104004,1.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.070760726928711,161.000000000000000
"37","18",21.191907000000000,92.149135999999999,5.000000000000000,"2020","20","38",7.000000000000000,10.000000000000000,7.500000000000000,5.000000000000000,Soil or Earth,Fall,Active,Advancing,Successive,,,,,,,,,,,,,,,6.515369705920962,6.597331821744598,6.700895646731704,1.000000000000000,0.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,21.070760726928711,161.000000000000000
"38","18",21.191815999999999,92.149505000000005,4.100000000000000,"2020","20","42",4.300000000000000,8.400000000000000,5.800000000000000,4.100000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.339278468367474,6.120210588527130,6.223774424440022,2.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,24.000000000000000,161.000000000000000
"39","18",21.187977000000000,92.147785999999996,2.300000000000000,"2020","24","32",20.300000000000001,8.000000000000000,5.100000000000000,2.300000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.640308431778164,6.421240584191110,6.524804420104004,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.000000000000000,161.000000000000000
"40","18",21.192159000000000,92.149586999999997,1.000000000000000,"2020","18","40",4.500000000000000,5.000000000000000,2.000000000000000,1.000000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,26.000000000000000,161.000000000000000
"41","18",21.189326000000001,92.147042999999996,2.300000000000000,"2020","22","46",13.699999999999999,5.500000000000000,4.500000000000000,2.300000000000000,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,7.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.000000000000000,161.000000000000000
"42","18",21.189095999999999,92.146231000000000,6.500000000000000,"2020","28","44",6.700000000000000,15.000000000000000,12.500000000000000,6.500000000000000,Soil or Earth,Complex,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.036085725945588,6.118351071105828,6.222247693810810,1.000000000000000,7.000000000000000,1322.194580078125000,1597.940917968750000,2029.819091796875000,20.000000000000000,161.000000000000000
"43","18",21.188943999999999,92.147268999999994,2.300000000000000,"2020","24","35",20.000000000000000,7.500000000000000,5.500000000000000,2.300000000000000,Soil or Earth,Slide,Active,"Advancing, Enlarging",Successive,,,,,,,,,,,,,,,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,2.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,20.070760726928711,161.000000000000000
"44","18",21.185431000000001,92.149368999999993,8.000000000000000,"2020","30","70",25.000000000000000,16.000000000000000,10.000000000000000,8.000000000000000,Soil or Earth,Complex,Active,Advancing,Successive,,,,,,,,,,,,,,,6.640308431778164,6.722270547601800,6.825834383340004,2.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.290843963623047,161.000000000000000
"45","18",21.185112000000000,92.148899000000000,15.000000000000000,"2020","38","50",35.000000000000000,24.399999999999999,30.000000000000000,15.000000000000000,Soil or Earth,Complex,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,7.079641140269014,7.161603256092650,7.265167100754252,2.000000000000000,5.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.149324417114258,161.000000000000000
"46","18",21.187024999999998,92.151167999999998,22.000000000000000,"2020","46","54",80.000000000000000,30.600000000000001,40.000000000000000,22.000000000000000,Soil or Earth,Complex,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,6.339278468367474,6.597331821744598,6.700895646731704,2.000000000000000,4.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.000000000000000,371.000000000000000
"47","18",21.186603000000002,92.150665000000004,12.000000000000000,"2020","30","45",35.000000000000000,26.000000000000000,15.000000000000000,13.000000000000000,Soil or Earth,Slide,Reactivated,Advancing,Successive,,,,,,,,,,,,,,,6.339278468367474,6.421240584191110,6.524804420104004,2.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,15.262313842773438,371.000000000000000
"48","18",21.188497000000002,92.148852000000005,8.000000000000000,"2020","38","60",18.000000000000000,13.000000000000000,12.000000000000000,8.000000000000000,Soil or Earth,Slide,Active,Advancing,Successive,,,,,,,,,,,,,,,6.339278468367474,6.120210588527130,6.223774424440022,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,16.241592407226562,161.000000000000000
"49","18",21.189551000000002,92.150555999999995,2.000000000000000,"2020","30","45",12.000000000000000,4.000000000000000,3.000000000000000,2.000000000000000,Soil or Earth,Slide,Reactivated,Advancing,Complex,,,,,,,,,,,,,,,6.640308464031454,6.722270579855092,6.825834415767984,1.000000000000000,6.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,17.262317657470703,161.000000000000000
"50","12",21.181916000000001,92.150142000000002,3.500000000000000,"2020","22","40",5.000000000000000,10.000000000000000,7.000000000000000,3.500000000000000,Soil or Earth,Fall,Active,"Advancing, Enlarging, Widening",Successive,,,,,,,,,,,,,,,6.038248472703492,6.120210588527130,6.223774424440022,1.000000000000000,3.000000000000000,1328.795410156250000,1604.797485351562500,2036.967407226562500,22.000000000000000,161.000000000000000
